"bus_id";"bus_name";"website";"zip";"county";"city";"address";"mailing_add";"email";"work_radius";"phone_num";"latitude";"longitude"
190;"A-1 Firewood";"http://a1firewoodinc.com/";87121;"";"Albuquerque";"3134 Bridge Blvd. SW";"";"a1firewood.inc@gmail.com";20;"505-242-8181";35.06802199;-106.70202385
191;"A-E Firewood";"";88310;"";"Alamogordo";"2810 Carmel Dr.";"";"vmscragg@gmail.com";20;"575-404-9566";32.91474453;-105.92872128
192;"AG Wood Supply";"";87701;"";"Las Vegas";"603 Porter";"";"";20;"505-425-0699";35.599041;-105.237254
193;"Alamo Navajo Forestry";"https://www.ansbi.org/divisions/forestry";87821;"";"Alamo";"";"P.O. Box 5907";"clivingston@ansbi.org";20;"575-854-2543 ext. 1326";34.415192;-107.500167
194;"Alfred's Firewood";"";87002;"";"Belen";"19656 Highway 314 #A";"";"";20;"505-864-7290";34.7251096;-106.7563049
195;"All Around Forestry";"https://allaroundforestryllc.net/";87120;"";"Albuquerque";"5512 Cochiti Court NW";"";"";20;"505-221-9771";35.14842222;-106.70678314
196;"All Trees Firewood";"";87501;"";"Santa Fe";"501 Apodaca Hill";"";"alltreesfirewood@gmail.com";20;"505-310-2050";35.67441978;-105.91095105
197;"Allen Fire";"";87015;"";"Edgewood";"150 Gonzales Rd.";"";"jstallen1@gmail.com";20;"505-440-3974";34.976804;-106.2283269
198;"Alternative Forestry Unlimited";"";88049;"";"Mimbres";"89 Lost Spring Rd.";"";"deubel@gilanet.com";20;"575-956-9622";32.8369783;-107.9342637
199;"Alto Wood Products";"http://elmolinosawmill.com/index.html";88312;"";"Alto";"243 State Hwy 220";"P.O. Box 1106";"elmolino@valornet.com";20;"575-336-1237";33.41841;-105.6455279
200;"American Wildfire Suppression Srvs";"https://americanwildfire.us/";88345;"";"Ruidoso";"1703 Sudderth Dr. #371";"";"maisymc@verizon.net";20;"781-718-0254";33.3274592;-105.6626291
201;"Andy Chacon";"";87549;"";"Ojo Caliente";"Hwy 285 3456 5A";"HCR 77 Box 6 1/2";"andschacon@outlook.com";20;"505-927-9422";36.3118635;-106.0396024
202;"Arbor Landscape Services";"https://www.arborlandscapeservices.com/";87015;"";"Edgewood";"13 Tom Horn Court";"";"Arborls.nm@gmail.com";20;"505-379-6093";34.9304881;-106.2248077
203;"Barela Landscaping Materials";"http://www.barelalandscaping.com/";87105;"";"Albuquerque";"7713 Bates SE";"";"cb0513@gmail.com";20;"505-877-8522";34.9764318;-106.6670335
204;"Barela Timber Management Co.";"https://www.barelatimbermanagement.com/";87701;"";"Las Vegas";"65/67 Highway 283";"699 Harlan Rd.";"viga@newmexico.com";20;"505-425-9479";35.5574868;-105.2341497
205;"Barry Allison";"";88025;"";"Buckhorn";"";"P.O. Box 96";"";20;"575-535-2598";33.0370125;-108.7083897
206;"Bart Rhino";"";87829;"";"Quemado";"";"";"";20;"505-225-4312";34.3435973;-108.4983057
207;"Bartley Mill and Lumber";"";87742;"";"Rociada";"State Rte 105";"HC 69 Box 18";"";20;"505-425-7038";35.863153;-105.4291397
208;"Bonnell Sand & Gravel";"";88324;"";"Glencoe";"";"P.O. Box 8";"bsgequip@pvtn.net";20;"575-653-4789";33.4092517;-105.448871
209;"Brown Ridge Services";"";87402;"";"Farmington";"7651 Tuscany Way";"";"brownridgeservices@gmail.com";20;"505-801-4606";36.8047262;-108.1311955
210;"Brushmasters";"";88007;"";"Las Cruces";"2631 San Andres Dr.";"";"bartramcoby@gmail.com";20;"575-202-3885";32.3333927;-106.814316
211;"Burro Mountain Tree Thinning";"";88061;"";"Silver City";"805 S. Hudson St.";"";"burromountaintreethinning@gmail.com";20;"575-590-3106";32.7635157;-108.2748674
212;"C&H Timber Stand Improvement Srvs";"";87111;"";"Albuquerque";"13107 Montgomery Blvd NE";"";"christina.victoria@yahoo.com";20;"480-688-3199";35.1310702;-106.4915208
213;"Carlton Armstrong";"";87829;"";"Quemado";"";"P.O. Box 9";"armstrongoutdooradventuresllc@gmail.com";20;"505-220-1337";34.3418337;-108.4936332
214;"Caros General Works";"";87532;"";"Espanola";"";"";"";20;"505-302-0292";35.9910383;-106.0818233
215;"Chris' Tree Service";"https://ctssantafe.com/";87505;"";"Santa Fe";"2405 Isabel St.";"";"cschaum@gmail.com";20;"505-660-0698";35.6619108;-105.9839719
216;"Cimarron Water Alliance";"https://www.cimarronwater.org/";87714;"";"Cimarron";"";"P.O. Box 626";"rcsmith3@gmail.com";20;"662-312-1678";36.5108691;-104.9158341
217;"Clayton Blevins";"";87020;"";"Grants";"";"P.O. Box 1713";"";20;"505-290-6609";35.14726;-107.8514466
218;"CM ArborCare";"";87544;"";"Las Cruces";"12 Los Pueblos St";"";"cmarborcare@gmail.com";20;"505-662-7887";35.9030472;-106.2756617
219;"Conley Inc.";"";87537;"";"Hernandez";"20088 US Hwy 84";"";"conleyjoby@gmail.com";20;"505-929-1246";36.139279;-106.1588809
220;"Conservation Services";"";87023;"";"Jarales";"";"P.O. Box 216";"lesgibson9@aol.com";20;"505-864-6605";34.5961904;-106.7647475
221;"Cordova Logging";"";87017;"";"Gallina";"";"P.O. Box 32";"leroyccordova@gmail.com";20;"505-470-5432";36.230271;-106.8057189
222;"David's Firewood";"";881001;"";"Clovis";"707 SR 523";"";"davidsfirewood@usa.net";20;"505-763-7340";34.4188142;-103.144306
223;"Dawson Consulting";"";87107;"";"Albuquerque";"446 Gene Ave NW";"";"brian.dawson@dawsonct.com";20;"505-615-0472";35.1398793;-106.6430523
224;"Do It Rite Tree Services";"";88341;"";"Nogal";"177 Juniper Springs Rd";"";"Doitrite10@outlook.com";20;"575-354-0133";33.498107;-105.687912
225;"Don Swanner Tree Service";"";88341;"";"Nogal";"150 Loma Grande Rd";"";"swannerdon62@gmail.com";20;"575-937-3255";33.4926716;-105.7010898
226;"Dudley Marshall";"";87021;"";"Milan";"";"P.O. Box 2464";"";20;"505-240-2191";35.1714365;-107.8968943
227;"Earl Velasquez";"";87012;"";"Coyote";"";"P.O. Box 177";"";20;"505-470-3662";36.1675174;-106.6164252
228;"Ellinger Logging";"";88311;"";"Alamogordo";"135 Highway 82";"P.O. Box 2294";"ellingerlogging@yahoo.com";20;"575-430-0268";32.9583273;-105.9529245
229;"Eric Haggstrom";"";87321;"";"Ramah";"";"P.O. Box 745";"eric.haggstrom22@gmail.com";20;"719-207-5365";35.1330889;-108.491741
230;"Excel Excavating";"";87537;"";"Hernandez";"";"P.O. Box 26";"Excelrob505@hotmail.com";20;"505-927-7983";36.0628;-106.1194685
231;"Ferranti Natural Resources";"";87821;"";"Datil";"111 Morning Star Circle";"";"ferrantinaturalresources@gmail.com";20;"575-835-8023";34.0421273;-108.1374017
232;"Fire Stix";"";88340;"";"Mescalero";"S Hwy 70";"";"";20;"505-671-1111";33.1581587;-105.7806078
233;"FIRECO";"";87401;"";"Farmington";"610 E. Diamond St.";"";"Fireco.nm@outlook.com";20;"505-860-5385";36.7643166;-108.1947613
234;"Fireman Chipper Services";"";87059;"";"Tijeras";"38 Vallecitos Rd";"";"Fireman_cd@outlook.com";20;"505-527-5072";35.1357256;-106.297613
235;"Firewood Co of Santa Fe";"https://www.firewoodcompanyofsantafe.com/";87562;"";"Rowe";"1 Lopez Ct.";"";"firewoodcoofsantafe@gmail.com";20;"505-470-0409";35.4927183;-105.671487
236;"Firewood NM";"https://www.firewoodnm.com/";87701;"";"Las Vegas";"425 Bibb Industrial Dr.";"";"";20;"888-545-9663";35.5667382;-105.225033
237;"Forest Fitness";"";87107;"";"Los Ranchos";"5311 Los Poblanos Ln NW";"";"jeremy@forestfitness.com";20;"505-350-8426";35.154834;-106.6672115
238;"Forrester & Associates";"";87501;"";"Santa Fe";"369 Montezuma Ave. #573";"";"nick@forrestera.com";20;"505-206-0243";35.6851993;-105.9453286
239;"Frank L. Trambley Construction";"";87732;"";"Mora";"491 NM Hwy 518";"P.O. Box 137";"";20;"575-643-5591";35.9768781;-105.3414465
240;"Fred Aragon";"";87829;"";"Quemado";"";"P.O. Box 353";"";20;"505-225-4312";34.3418337;-108.4936332
241;"Garrison Tree Services";"";88345;"";"Ruidoso";"133 Spruce Dr.";"";"Garrisontreeservices@gmail.com";20;"575-973-8622";33.3479219;-105.6834008
242;"Got Wood NM";"";88352;"";"Tularosa";"9 Burleson Lane";"";"gotwoodnm@icloud.com";20;"575-443-3889";33.0927168;-106.0251637
